,,,The number in each cell represents the row number that each metric appeared in from the participant's FigJam screenshot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,Custom,Metric name,Jack,Evan,Casey,Olivia,Freddy's,Alex Stucky,Red hair glasses,Mattie,Becky P,Adam,Apryl,veronica,Andrew,Joanna,Bobbi,Carlos V,NO NAME,Russ,Times chosen,% chosen overall,1st row,% 1st,2nd row,% 2nd,3rd row,% 3rd,1st-3rd,% 1st-3rd,rejected (not chosen),reject rate,,,,,,,,,,,,,,,,,,
,,New Guest Acquisition,2,1,2,4,6,2,2,2,4,,,,1,1,,5,2,1,14,78%,4,22%,6,33%,0,0%,10,56%,4,22%,,,,,,,,,,,,,,,,,,
,,Visit Frequency,2,1,2,2,6,2,2,2,1,4,3,1,,,,,,1,13,72%,4,22%,6,33%,1,6%,11,61%,5,28%,,,,,,,,,,,,,,,,,,
,,Loyalty Spend Lift,1,,3,2,5,1,2,,2,,4,3,,2,,6,4,3,13,72%,2,11%,4,22%,3,17%,9,50%,5,28%,,,,,,,,,,,,,,,,,,
,,Guest Repeat Rate,3,2,3,,,,,3,3,4,3,,2,1,1,5,3,,12,67%,2,11%,2,11%,6,33%,10,56%,6,33%,,,,,,,,,,,,,,,,,,
,,Avg Days Between Visits,1,,3,3,6,1,,2,1,,2,1,,,1,5,,2,12,67%,5,28%,3,17%,2,11%,10,56%,6,33%,,,,,,,,,,,,,,,,,,
,,Loyalty Penetration,1,,2,2,5,1,2,,2,,4,,,2,,6,4,1,12,67%,3,17%,5,28%,0,0%,8,44%,6,33%,,,,,,,,,,,,,,,,,,
,,Active Guests,,,2,2,6,2,3,2,1,,,2,2,,,,2,1,11,61%,2,11%,7,39%,1,6%,10,56%,7,39%,,,,,,,,,,,,,,,,,,
,,Average Order Value,1,1,3,4,,2,,,,,,3,,,2,7,1,2,10,56%,3,17%,3,17%,2,11%,8,44%,8,44%,,,,,,,,,,,,,,,,,,
,,Return Visit Funnel,3,2,4,4,,,,,1,,2,,,1,1,,2,2,10,56%,3,17%,4,22%,1,6%,8,44%,8,44%,,,,,,,,,,,,,,,,,,
,,Guest Lifecycle Stage,,2,,4,6,3,3,,3,,,,2,1,,5,4,,10,56%,1,6%,2,11%,3,17%,6,33%,8,44%,,,,,,,,,,,,,,,,,,
,,Avg Visits per Guest,1,,,3,6,,2,,1,,3,,,,2,5,2,,9,50%,2,11%,3,17%,2,11%,7,39%,9,50%,,,,,,,,,,,,,,,,,,
,,Guest Lifetime Value,,,3,3,5,2,,4,,,,3,,,,,1,3,8,44%,1,6%,1,6%,4,22%,6,33%,10,56%,,,,,,,,,,,,,,,,,,
,,Channel Mix,2,,,,,1,1,,,5,3,3,,,3,6,,,8,44%,2,11%,1,6%,3,17%,6,33%,10,56%,,,,,,,,,,,,,,,,,,
,,Retention Cohort,,2,4,,,,2,4,,4,2,2,,1,,,,,8,44%,1,6%,4,22%,0,0%,5,28%,10,56%,,,,,,,,,,,,,,,,,,
x,,What Changed This Week,,,1,1,3,,,,,1,1,,,,4,2,,,7,39%,4,22%,1,6%,1,6%,6,33%,11,61%,,,,,,,,,,,,,,,,,,
,,Churn Risk Score,2,2,,,6,,3,4,3,,,,,,,,3,,7,39%,0,0%,2,11%,3,17%,5,28%,11,61%,,,,,,,,,,,,,,,,,,
,,Menu Item Churn,,3,,3,,,,,2,4,4,2,,,3,,,,7,39%,0,0%,2,11%,3,17%,5,28%,11,61%,,,,,,,,,,,,,,,,,,
,,Revenue Trend,,1,3,2,5,,1,,,5,,,,,,,,1,7,39%,3,17%,1,6%,1,6%,5,28%,11,61%,,,,,,,,,,,,,,,,,,
,,Loyalty Conversion Rate,,,,4,5,1,,3,,,,1,,2,,5,,,7,39%,2,11%,1,6%,1,6%,4,22%,11,61%,,,,,,,,,,,,,,,,,,
,,Top Menu Items,,3,4,3,,,,2,2,,,,,,3,,,,6,33%,0,0%,2,11%,3,17%,5,28%,12,67%,,,,,,,,,,,,,,,,,,
,,Menu Item Retention Score,,3,,3,,,,,2,4,4,,,,3,,,,6,33%,0,0%,1,6%,3,17%,4,22%,12,67%,,,,,,,,,,,,,,,,,,
,,Unique Guest Visits Over Time,2,,,2,6,,,,4,,,,,1,,,,2,6,33%,1,6%,3,17%,0,0%,4,22%,12,67%,,,,,,,,,,,,,,,,,,
,,Avg Check Size / Annual Spend,1,,3,,,,,4,,5,4,,,,2,,,,6,33%,1,6%,1,6%,1,6%,3,17%,12,67%,,,,,,,,,,,,,,,,,,
,,Daypart Distribution,,,,,,1,,,2,5,,,,2,1,,,,5,28%,2,11%,2,11%,0,0%,4,22%,13,72%,,,,,,,,,,,,,,,,,,
,,Top Performing Segments,,,3,,,2,,,,,2,,,,,6,4,,5,28%,0,0%,2,11%,1,6%,3,17%,13,72%,,,,,,,,,,,,,,,,,,
,,Revenue Concentration,,,,2,5,1,,,,,,,,,,7,1,,5,28%,2,11%,1,6%,0,0%,3,17%,13,72%,,,,,,,,,,,,,,,,,,
,,Total Unified Guests,,,2,,,3,,,3,,,,,,,,,2,4,22%,0,0%,2,11%,2,11%,4,22%,14,78%,,,,,,,,,,,,,,,,,,
x,,Recent Summary,,,1,,2,,,1,,,,,,,,1,,,4,22%,3,17%,1,6%,0,0%,4,22%,14,78%,,,,,,,,,,,,,,,,,,
x,,Opportunity Insight,,,,,,,,,,3,5,4,,,7,,,,4,22%,0,0%,0,0%,1,6%,1,6%,14,78%,,,,,,,,,,,,,,,,,,
,,Location Comparison,,2,,,,1,,,3,,,,,,,,,,3,17%,1,6%,1,6%,1,6%,3,17%,15,83%,,,,,,,,,,,,,,,,,,
,,Guest Sentiment Score,2,1,,,,2,,,,,,,,,,,,,3,17%,1,6%,2,11%,0,0%,3,17%,15,83%,,,,,,,,,,,,,,,,,,
,,Avg Order Size (Items),,3,,,,,,,,5,,,,,2,,,,3,17%,0,0%,1,6%,1,6%,2,11%,15,83%,,,,,,,,,,,,,,,,,,
,,Rechability Gap,,,,4,,3,,,,,,,,,,6,,,3,17%,0,0%,0,0%,1,6%,1,6%,15,83%,,,,,,,,,,,,,,,,,,
x,,Risks,,,,,4,,,,,,,5,,,,3,,,3,17%,0,0%,0,0%,1,6%,1,6%,15,83%,,,,,,,,,,,,,,,,,,
,,Revenue by Guest Type,,,,,5,,,2,,,,,,,,7,,,3,17%,0,0%,1,6%,0,0%,1,6%,15,83%,,,,,,,,,,,,,,,,,,
,,IDR Coverage,,,,,,3,,,,,,,,,,6,,,2,11%,0,0%,0,0%,1,6%,1,6%,16,89%,,,,,,,,,,,,,,,,,,
